"Category","Files","Bytes","Map","FileNode","Excluded"
"MOBILE","928","4967609","928","0","0"
"FRONTEND","654","1893906","654","0","0"
"SERVER","459","2110449","459","0","0"
"GENERATED","444","4048003","0","0","444"
"TEST","421","9703334","421","0","0"
"DOCUMENTATION","331","15899231","331","0","0"
"ASSET","180","66975434","0","180","0"
"I18N","79","9765682","79","0","0"
"MACHINE_LEARNING","46","747551","46","0","0"
"PACKAGE","45","78144","45","0","0"
"DEPLOYMENT","37","44626","37","0","0"
"CI_CD","33","111670","33","0","0"
"ROOT_CONFIG","16","968780","16","0","0"
"API_SOURCE","11","32431","11","0","0"
"LEGAL","6","73922","6","0","0"
"PROJECT_SUPPORT","6","8436","6","0","0"
"OS_METADATA","1","6148","0","0",
