"TopLevel","Files","Bytes"
"mobile","1607","73880442"
"web","736","7966698"
"server","646","3768709"
"docs","297","15764398"
"e2e","86","672864"
"i18n","79","9765682"
"packages","51","327828"
"machine-learning","50","818066"
".github","34","113140"
"deployment","20","14500"
"readme_i18n","18","108398"
"design","14","2424974"
"open-api","12","754359"
"docker","10","20237"
".devcontainer","7","10093"
"misc","3","4402"
".vscode","3","4034"
"fastlane","2","286"
"pnpm-lock.yaml","1","931974"
"pnpm-workspace.yaml","1","1306"
".gitignore","1","518"
"package.json","1","559"
".gitattributes","1","1040"
"SECURITY.md","1","104"
".dockerignore","1","387"
"CONTRIBUTING.md","1","3661"
"README.md","1","5932"
".editorconfig","1","321"
"renovate.json","1","1048"
".pnpmfile.cjs","1","698"
"install.sh","1","2976"
".prettierrc","1","122"
"CODEOWNERS","1","159"
"CODE_OF_CONDUCT.md","1","5222"
"LICENSE","1","32388"
"mise.toml","1","4798"
".gitmodules","1","103"
"mise.lock","1","20311"
".nvmrc","1","8"
"Makefile","1","2611"
