"Extension","Files","Bytes"
".dart","1183","13040808"
".ts","964","5237680"
".svelte","410","1355428"
".png","165","52620374"
".json","154","11989700"
".webp","141","7603382"
".md","112","653522"
".txt","85","12330"
".kt","40","213518"
".yml","39","130732"
".swift","35","186084"
".sql","34","141278"
".svg","32","368265"
".py","31","162175"
"(none)","25","101248"
".xml","20","37383"
".ttf","19","21530128"
".gitignore","17","8189"
".sh","14","16658"
".yaml","14","961823"
".toml","13","20806"
".tsx","13","25711"
".mdx","11","57880"
".tf","11","4002"
".js","10","15576"
".lock","9","695594"
".patch","7","11742"
".prettierrc","7","1326"
".plist","6","9179"
".prettierignore","6","837"
".hcl","5","5503"
".mjs","5","7031"
".entitlements","4","1618"
".gradle","3","4799"
".storyboard","3","6960"
".npmignore","3","272"
".dockerignore","3","448"
".xcworkspacedata","2","359"
".resolved","2","10310"
".properties","2","627"
".xcconfig","2","216"
".mustache","2","18888"
".editorconfig","2","657"
".xcsettings","2","452"
".env","2","1201"
".ico","2","16236"
".css","2","7109"
".h","1","38"
".cpp","1","10903"
".drift","1","3443"
".openapi-generator-ignore","1","1040"
".gitmodules","1","103"
".npmrc","1","19"
".html","1","4941"
".python-version","1","5"
".gitattributes","1","1040"
".dev","1","2913"
".browserslistrc","1","49"
".nvmrc","1","8"
".drawio","1","9632"
".ds_store","1","6148"
".pro","1","2078"
".jpeg","1","20900"
".java","1","6867"
".c","1","1570"
".xcscheme","1","4294"
".tmpl","1","207"
".cjs","1","698"
".pbxproj","1","60748"
".nojekyll","1","0"
".metadata","1","1668"
